clave,object_number,area,perimeter,angle_of_inclination,texture,intensity,Cluster_Normalized,PCA_Component_1,PCA_Component_2,Cluster_PCA
87.png,2,12850,498,0.944881815,25.80321233,255,1,-1.106384313,-0.663201963,1
9.png,3,11000,458,0.94017086,24.01746672,255,1,-1.188034115,-0.669129624,1
90.png,3,12876,498,0.944881815,25.85542117,255,1,-1.104819406,-0.663363695,1
91.png,2,12879,498,0.944881815,25.86144526,255,1,-1.10463884,-0.663382356,1
91.png,4,12891,498,0.944881815,25.88554165,255,1,-1.103916576,-0.663457001,1
92.png,2,12915,500,0.937499927,25.82999948,255,1,-1.10373298,-0.665737189,1
92.png,3,12870,498,0.944881815,25.84337298,255,1,-1.105180539,-0.663326372,1
92.png,5,12790,496,0.9370078,25.7862898,255,1,-1.107916362,-0.666759185,1
92.png,6,12884,498,0.944881815,25.87148542,255,1,-1.104337897,-0.663413458,1
93.png,2,12879,498,0.944881815,25.86144526,255,1,-1.10463884,-0.663382356,1
93.png,4,12876,498,0.944881815,25.85542117,255,1,-1.104819406,-0.663363695,1
94.png,2,12844,498,0.944881815,25.79116414,255,1,-1.106745445,-0.663164641,1
94.png,4,12845,498,0.944881815,25.79317217,255,1,-1.106685256,-0.663170861,1
95.png,3,12819,498,0.944881815,25.74096334,255,1,-1.108250162,-0.66300913,1
95.png,5,12819,498,0.944881815,25.74096334,255,1,-1.108250162,-0.66300913,1
10.png,2,38167,1388,7.14117563,27.49783842,255,2,-0.731583168,2.008304089,2
11.png,2,38016,1388,7.14117563,27.38904879,255,2,-0.73568174,2.008599309,2
21.png,2,38314,1388,7.14117563,27.6037462,255,2,-0.727593167,2.008016688,2
22.png,3,38194,1386,7.129410926,27.55699836,255,2,-0.730199965,2.002986412,2
31.png,1,38379,1390,7.058138714,27.61079117,255,2,-0.721367984,1.975485372,2
32.png,1,38354,1390,7.058138714,27.59280556,255,2,-0.722045891,1.975534163,2
32.png,8,38316,1388,7.14117563,27.60518712,255,2,-0.727538882,2.008012778,2
33.png,1,38175,1386,7.226189616,27.54328984,255,2,-0.735936054,2.041478593,2
33.png,7,38275,1388,7.14117563,27.57564822,255,2,-0.728651739,2.008092937,2
34.png,1,38065,1386,7.226189616,27.46392477,255,2,-0.738924704,2.041694033,2
34.png,7,38147,1388,7.14117563,27.4834292,255,2,-0.732126025,2.008343191,2
35.png,1,37930,1388,7.14117563,27.32708914,255,2,-0.738016026,2.008767448,2
35.png,6,38039,1388,7.14117563,27.4056194,255,2,-0.735057454,2.008554342,2
36.png,2,34576,1342,7.158535712,25.76453036,255,2,-0.83115068,2.008845326,2
37.png,1,38598,1388,7.14117563,27.80835715,255,2,-0.719884595,2.007461439,2
37.png,2,34535,1342,7.158535712,25.73397894,255,2,-0.832289523,2.008928839,2
38.png,2,38408,1392,7.14117563,27.59195382,255,2,-0.72507593,2.009013621,2
38.png,3,34456,1342,7.158535712,25.67511158,255,2,-0.834483881,2.009089756,2
39.png,1,38437,1390,7.058138714,27.65251779,255,2,-0.719795241,1.975372175,2
39.png,2,34524,1342,7.158535712,25.72578222,255,2,-0.832595067,2.008951246,2
39.png,4,38350,1388,7.14117563,27.6296828,255,2,-0.726616025,2.007946305,2
40.png,2,38422,1390,7.058138714,27.64172642,255,2,-0.720201985,1.97540145,2
40.png,3,34513,1342,7.158535712,25.7175855,255,2,-0.83290061,2.008973652,2
40.png,5,38330,1388,7.14117563,27.61527358,255,2,-0.727158882,2.007985407,2
41.png,1,38152,1386,7.226189616,27.52669533,255,2,-0.736560954,2.041523639,2
41.png,2,38397,1390,7.058138714,27.62374081,255,2,-0.720879892,1.975450241,2
41.png,3,34501,1342,7.158535712,25.70864362,255,2,-0.83323393,2.008998094,2
41.png,5,38272,1386,7.129410926,27.61327541,255,2,-0.728080741,2.002833645,2
42.png,1,38247,1388,7.14117563,27.55547531,255,2,-0.729411739,2.00814768,2
42.png,2,38366,1388,7.14117563,27.64121018,255,2,-0.726181739,2.007915023,2
42.png,3,34485,1342,7.158535712,25.69672112,255,2,-0.833678357,2.009030685,2
42.png,4,38478,1402,7.211763857,27.44507826,255,2,-0.727030642,2.039871835,2
42.png,5,38286,1388,7.14117563,27.58357329,255,2,-0.728353168,2.008071431,2
43.png,2,34472,1342,7.158535712,25.68703409,255,2,-0.834039454,2.009057165,2
44.png,2,34372,1342,7.158535712,25.61251844,255,2,-0.836817121,2.009260856,2
45.png,2,34315,1342,7.158535712,25.57004452,255,2,-0.838400391,2.00937696,2
46.png,3,34307,1342,7.158535712,25.56408327,255,2,-0.838622605,2.009393255,2
47.png,4,34293,1342,7.158535712,25.55365108,255,2,-0.839011478,2.009421772,2
55.png,3,37984,1386,7.129410926,27.40548321,255,2,-0.735905569,2.003397707,2
56.png,5,37970,1388,7.129410926,27.35590758,255,2,-0.736295769,2.004014544,2
56.png,6,37920,1386,7.129410926,27.35930716,255,2,-0.73764442,2.003523054,2
57.png,1,38056,1386,7.129410926,27.45743126,255,2,-0.733949362,2.003256691,2
57.png,6,38145,1386,7.129410926,27.52164482,255,2,-0.731531273,2.00308238,2
58.png,1,51105,1850,5.287769404,27.62432418,255,2,-0.284668919,1.382966759,2
58.png,7,38123,1386,7.129410926,27.50577181,255,2,-0.732129003,2.003125469,2
59.png,1,38107,1386,7.129410926,27.4942278,255,2,-0.732563715,2.003156805,2
59.png,3,38169,1386,7.129410926,27.53896084,255,2,-0.730879204,2.003035375,2
64.png,1,37919,1384,7.214284855,27.39812119,255,2,-0.742237971,2.03666001,2
64.png,4,38095,1386,7.129410926,27.48556979,255,2,-0.73288975,2.003180308,2
65.png,2,38272,1388,7.14117563,27.57348683,255,2,-0.728733168,2.008098803,2
66.png,3,38272,1388,7.14117563,27.57348683,255,2,-0.728733168,2.008098803,2
67.png,4,38256,1388,7.14117563,27.56195946,255,2,-0.729167453,2.008130084,2
68.png,4,38220,1388,7.14117563,27.53602286,255,2,-0.730144596,2.008200468,2
68.png,5,38004,1386,7.226189616,27.41991322,255,2,-0.740582046,2.041813504,2
69.png,3,38065,1388,7.14117563,27.42435139,255,2,-0.73435174,2.008503509,2
69.png,5,38126,1388,7.14117563,27.46829951,255,2,-0.732696025,2.008384248,2
69.png,6,38068,1388,7.14117563,27.42651277,255,2,-0.734270311,2.008497644,2
69.png,7,37942,1386,7.226189616,27.37518018,255,2,-0.742266558,2.041934934,2
70.png,4,34456,1342,7.158535712,25.67511158,255,2,-0.834483881,2.009089756,2
71.png,3,34423,1342,7.158535712,25.65052142,255,2,-0.835400511,2.009156974,2
72.png,3,34414,1342,7.158535712,25.64381501,255,2,-0.835650501,2.009175306,2
72.png,4,38196,1386,7.129410926,27.55844136,255,2,-0.730145626,2.002982495,2
73.png,3,34385,1342,7.158535712,25.62220547,255,2,-0.836456024,2.009234376,2
73.png,4,38168,1386,7.129410926,27.53823934,255,2,-0.730906373,2.003037334,2
73.png,5,38082,1386,7.129410926,27.47619028,255,2,-0.733242954,2.003205769,2
74.png,3,34423,1342,7.158535712,25.65052142,255,2,-0.835400511,2.009156974,2
75.png,3,34414,1342,7.158535712,25.64381501,255,2,-0.835650501,2.009175306,2
78.png,4,38293,1388,7.14117563,27.58861652,255,2,-0.728163168,2.008057745,2
79.png,4,38198,1388,7.14117563,27.52017271,255,2,-0.730741739,2.00824348,2
79.png,5,38110,1388,7.14117563,27.45677214,255,2,-0.733130311,2.008415529,2
80.png,5,38065,1388,7.14117563,27.42435139,255,2,-0.73435174,2.008503509,2
80.png,6,37944,1386,7.226189616,27.37662318,255,2,-0.742212218,2.041931017,2
81.png,3,38062,1388,7.14117563,27.42219,255,2,-0.734433168,2.008509374,2
82.png,5,37897,1384,7.214284855,27.38222524,255,2,-0.742836289,2.036703174,2
83.png,5,37894,1384,7.214284855,27.38005761,255,2,-0.742917878,2.03670906,2
83.png,6,37882,1384,7.214284855,27.37138709,255,2,-0.743244234,2.036732604,2
84.png,4,37992,1384,7.214284855,27.45086685,255,2,-0.740252641,2.036516784,2
84.png,5,38011,1386,7.226189616,27.42496373,255,2,-0.740391859,2.041799794,2
85.png,5,37894,1384,7.214284855,27.38005761,255,2,-0.742917878,2.03670906,2
85.png,6,37882,1384,7.214284855,27.37138709,255,2,-0.743244234,2.036732604,2
86.png,4,37924,1384,7.214284855,27.40173391,255,2,-0.742101989,2.0366502,2
86.png,5,37921,1384,7.214284855,27.39956628,255,2,-0.742183578,2.036656086,2
87.png,4,37986,1386,7.226189616,27.40692621,255,2,-0.741071098,2.041848758,2
88.png,3,38161,1386,7.226189616,27.53318883,255,2,-0.736316428,2.041506012,2
89.png,4,38067,1384,7.214284855,27.5050576,255,2,-0.738212918,2.036369634,2
90.png,4,38041,1384,7.214284855,27.48627148,255,2,-0.738920022,2.036420646,2
91.png,5,38041,1384,7.214284855,27.48627148,255,2,-0.738920022,2.036420646,2
92.png,7,38023,1384,7.214284855,27.4732657,255,2,-0.739409555,2.036455962,2
