clave,object_number,area,perimeter,angle_of_inclination,texture,intensity,Cluster_Normalized
22.png,3,38194,1386,7.129410926,27.55699836,255,2
31.png,1,38379,1390,7.058138714,27.61079117,255,2
32.png,1,38354,1390,7.058138714,27.59280556,255,2
32.png,8,38316,1388,7.14117563,27.60518712,255,2
33.png,1,38175,1386,7.226189616,27.54328984,255,2
33.png,7,38275,1388,7.14117563,27.57564822,255,2
34.png,1,38065,1386,7.226189616,27.46392477,255,2
34.png,7,38147,1388,7.14117563,27.4834292,255,2
35.png,1,37930,1388,7.14117563,27.32708914,255,2
35.png,6,38039,1388,7.14117563,27.4056194,255,2
36.png,2,34576,1342,7.158535712,25.76453036,255,2
37.png,1,38598,1388,7.14117563,27.80835715,255,2
37.png,2,34535,1342,7.158535712,25.73397894,255,2
38.png,2,38408,1392,7.14117563,27.59195382,255,2
38.png,3,34456,1342,7.158535712,25.67511158,255,2
39.png,1,38437,1390,7.058138714,27.65251779,255,2
39.png,2,34524,1342,7.158535712,25.72578222,255,2
39.png,4,38350,1388,7.14117563,27.6296828,255,2
40.png,2,38422,1390,7.058138714,27.64172642,255,2
40.png,3,34513,1342,7.158535712,25.7175855,255,2
40.png,5,38330,1388,7.14117563,27.61527358,255,2
41.png,1,38152,1386,7.226189616,27.52669533,255,2
41.png,2,38397,1390,7.058138714,27.62374081,255,2
41.png,3,34501,1342,7.158535712,25.70864362,255,2
41.png,5,38272,1386,7.129410926,27.61327541,255,2
42.png,1,38247,1388,7.14117563,27.55547531,255,2
42.png,2,38366,1388,7.14117563,27.64121018,255,2
42.png,3,34485,1342,7.158535712,25.69672112,255,2
42.png,4,38478,1402,7.211763857,27.44507826,255,2
42.png,5,38286,1388,7.14117563,27.58357329,255,2
43.png,2,34472,1342,7.158535712,25.68703409,255,2
44.png,2,34372,1342,7.158535712,25.61251844,255,2
45.png,2,34315,1342,7.158535712,25.57004452,255,2
46.png,3,34307,1342,7.158535712,25.56408327,255,2
47.png,4,34293,1342,7.158535712,25.55365108,255,2
55.png,3,37984,1386,7.129410926,27.40548321,255,2
56.png,5,37970,1388,7.129410926,27.35590758,255,2
56.png,6,37920,1386,7.129410926,27.35930716,255,2
57.png,1,38056,1386,7.129410926,27.45743126,255,2
57.png,6,38145,1386,7.129410926,27.52164482,255,2
58.png,1,51105,1850,5.287769404,27.62432418,255,2
58.png,7,38123,1386,7.129410926,27.50577181,255,2
